Meter,Name,Date,PeriodValue,Unit,Status
751,1010 - Flat 51 Elec,01/08/2014,7.27,kWh,OK
751,1010 - Flat 51 Elec,02/08/2014,4.41,kWh,OK
751,1010 - Flat 51 Elec,03/08/2014,5.2,kWh,OK
751,1010 - Flat 51 Elec,04/08/2014,3.17,kWh,OK
751,1010 - Flat 51 Elec,05/08/2014,3.44,kWh,OK
751,1010 - Flat 51 Elec,06/08/2014,3.5,kWh,OK
751,1010 - Flat 51 Elec,07/08/2014,4.13,kWh,OK
751,1010 - Flat 51 Elec,08/08/2014,4.09,kWh,OK
751,1010 - Flat 51 Elec,09/08/2014,4.35,kWh,OK
751,1010 - Flat 51 Elec,10/08/2014,6.3,kWh,OK
751,1010 - Flat 51 Elec,11/08/2014,4.02,kWh,OK
751,1010 - Flat 51 Elec,12/08/2014,3.77,kWh,OK
751,1010 - Flat 51 Elec,13/08/2014,2.91,kWh,OK
751,1010 - Flat 51 Elec,14/08/2014,2.81,kWh,OK
751,1010 - Flat 51 Elec,15/08/2014,2.79,kWh,OK
751,1010 - Flat 51 Elec,16/08/2014,2.18,kWh,OK
751,1010 - Flat 51 Elec,17/08/2014,6.74,kWh,OK
751,1010 - Flat 51 Elec,18/08/2014,3.9,kWh,OK
751,1010 - Flat 51 Elec,19/08/2014,5.1,kWh,OK
751,1010 - Flat 51 Elec,20/08/2014,2,kWh,OK
751,1010 - Flat 51 Elec,21/08/2014,2.29,kWh,OK
751,1010 - Flat 51 Elec,22/08/2014,2.57,kWh,OK
751,1010 - Flat 51 Elec,23/08/2014,5.11,kWh,OK
751,1010 - Flat 51 Elec,24/08/2014,3.76,kWh,OK
751,1010 - Flat 51 Elec,25/08/2014,5.59,kWh,OK
751,1010 - Flat 51 Elec,26/08/2014,3.07,kWh,OK
751,1010 - Flat 51 Elec,27/08/2014,3.44,kWh,OK
751,1010 - Flat 51 Elec,28/08/2014,2.27,kWh,OK
751,1010 - Flat 51 Elec,29/08/2014,3.06,kWh,OK
751,1010 - Flat 51 Elec,30/08/2014,5.21,kWh,OK
751,1010 - Flat 51 Elec,31/08/2014,3.05,kWh,OK
751,1010 - Flat 51 Elec,01/09/2014,3.52,kWh,OK
751,1010 - Flat 51 Elec,02/09/2014,2.67,kWh,OK
751,1010 - Flat 51 Elec,03/09/2014,2.76,kWh,OK
751,1010 - Flat 51 Elec,04/09/2014,3.11,kWh,OK
751,1010 - Flat 51 Elec,05/09/2014,2.81,kWh,OK
751,1010 - Flat 51 Elec,06/09/2014,4.46,kWh,OK
751,1010 - Flat 51 Elec,07/09/2014,4.72,kWh,OK
751,1010 - Flat 51 Elec,08/09/2014,1.68,kWh,OK
751,1010 - Flat 51 Elec,09/09/2014,3.23,kWh,OK
751,1010 - Flat 51 Elec,10/09/2014,2.85,kWh,OK
751,1010 - Flat 51 Elec,11/09/2014,2.74,kWh,OK
751,1010 - Flat 51 Elec,12/09/2014,1.99,kWh,OK
751,1010 - Flat 51 Elec,13/09/2014,2.15,kWh,OK
751,1010 - Flat 51 Elec,14/09/2014,4.14,kWh,OK
751,1010 - Flat 51 Elec,15/09/2014,2.59,kWh,OK
751,1010 - Flat 51 Elec,16/09/2014,2.16,kWh,OK
751,1010 - Flat 51 Elec,17/09/2014,3.1,kWh,OK
751,1010 - Flat 51 Elec,18/09/2014,3.72,kWh,OK
751,1010 - Flat 51 Elec,19/09/2014,2.89,kWh,OK
751,1010 - Flat 51 Elec,20/09/2014,4.04,kWh,OK
751,1010 - Flat 51 Elec,21/09/2014,3.64,kWh,OK
751,1010 - Flat 51 Elec,22/09/2014,3.28,kWh,OK
751,1010 - Flat 51 Elec,23/09/2014,1.9,kWh,OK
751,1010 - Flat 51 Elec,24/09/2014,3.24,kWh,OK
751,1010 - Flat 51 Elec,25/09/2014,3.17,kWh,OK
751,1010 - Flat 51 Elec,26/09/2014,3.11,kWh,OK
751,1010 - Flat 51 Elec,27/09/2014,3.19,kWh,OK
751,1010 - Flat 51 Elec,28/09/2014,3.36,kWh,OK
751,1010 - Flat 51 Elec,29/09/2014,2.45,kWh,OK
751,1010 - Flat 51 Elec,30/09/2014,3.64,kWh,OK
751,1010 - Flat 51 Elec,01/10/2014,4.28,kWh,OK
751,1010 - Flat 51 Elec,02/10/2014,5.23,kWh,OK
751,1010 - Flat 51 Elec,03/10/2014,7.5,kWh,OK
751,1010 - Flat 51 Elec,04/10/2014,4.53,kWh,OK
751,1010 - Flat 51 Elec,05/10/2014,2.99,kWh,OK
751,1010 - Flat 51 Elec,06/10/2014,6.34,kWh,OK
751,1010 - Flat 51 Elec,07/10/2014,3.14,kWh,OK
751,1010 - Flat 51 Elec,08/10/2014,6.39,kWh,OK
751,1010 - Flat 51 Elec,09/10/2014,9.03,kWh,OK
751,1010 - Flat 51 Elec,10/10/2014,3.08,kWh,OK
751,1010 - Flat 51 Elec,11/10/2014,7.47,kWh,OK
751,1010 - Flat 51 Elec,12/10/2014,6.32,kWh,OK
751,1010 - Flat 51 Elec,13/10/2014,5.26,kWh,OK
751,1010 - Flat 51 Elec,14/10/2014,3.79,kWh,OK
751,1010 - Flat 51 Elec,15/10/2014,6.57,kWh,OK
751,1010 - Flat 51 Elec,16/10/2014,3.25,kWh,OK
751,1010 - Flat 51 Elec,17/10/2014,4.86,kWh,OK
751,1010 - Flat 51 Elec,18/10/2014,4.9,kWh,OK
751,1010 - Flat 51 Elec,19/10/2014,6.01,kWh,OK
751,1010 - Flat 51 Elec,20/10/2014,3.43,kWh,OK
751,1010 - Flat 51 Elec,21/10/2014,4.98,kWh,OK
751,1010 - Flat 51 Elec,22/10/2014,5.38,kWh,OK
751,1010 - Flat 51 Elec,23/10/2014,9.96,kWh,OK
751,1010 - Flat 51 Elec,24/10/2014,3.44,kWh,OK
751,1010 - Flat 51 Elec,25/10/2014,4.97,kWh,OK
751,1010 - Flat 51 Elec,26/10/2014,5.8,kWh,OK
751,1010 - Flat 51 Elec,27/10/2014,8.35,kWh,OK
751,1010 - Flat 51 Elec,28/10/2014,3.63,kWh,OK
751,1010 - Flat 51 Elec,29/10/2014,6.53,kWh,OK
751,1010 - Flat 51 Elec,30/10/2014,5.2,kWh,OK
751,1010 - Flat 51 Elec,31/10/2014,5,kWh,OK
751,1010 - Flat 51 Elec,01/11/2014,6.06,kWh,OK
751,1010 - Flat 51 Elec,02/11/2014,5.93,kWh,OK
751,1010 - Flat 51 Elec,03/11/2014,8.43,kWh,OK
751,1010 - Flat 51 Elec,04/11/2014,6.9,kWh,OK
751,1010 - Flat 51 Elec,05/11/2014,6.45,kWh,OK
751,1010 - Flat 51 Elec,06/11/2014,6.24,kWh,OK
751,1010 - Flat 51 Elec,07/11/2014,7.12,kWh,OK
751,1010 - Flat 51 Elec,08/11/2014,6.53,kWh,OK
751,1010 - Flat 51 Elec,09/11/2014,7.92,kWh,OK
751,1010 - Flat 51 Elec,10/11/2014,7.29,kWh,OK
751,1010 - Flat 51 Elec,11/11/2014,7.2,kWh,OK
751,1010 - Flat 51 Elec,12/11/2014,8.4,kWh,OK
751,1010 - Flat 51 Elec,13/11/2014,5.15,kWh,OK
751,1010 - Flat 51 Elec,14/11/2014,3.52,kWh,OK
751,1010 - Flat 51 Elec,15/11/2014,6.37,kWh,OK
751,1010 - Flat 51 Elec,16/11/2014,4.13,kWh,OK
751,1010 - Flat 51 Elec,17/11/2014,11.24,kWh,OK
751,1010 - Flat 51 Elec,18/11/2014,5.41,kWh,OK
751,1010 - Flat 51 Elec,19/11/2014,6.89,kWh,OK
