"date","flat_name","flat_number","electricity","gas","bedrooms","occupant_adult","occupant_child","occupant_sum"
2014-08-01,"flat_1",1,2.828,0.78,1,2,0,2
2014-08-02,"flat_1",1,2.94,0.71,1,2,0,2
2014-08-03,"flat_1",1,4.166,1.53,1,2,0,2
2014-08-04,"flat_1",1,2.136,0.47,1,2,0,2
2014-08-05,"flat_1",1,0.836,0.15,1,2,0,2
2014-08-06,"flat_1",1,0.849,0.14,1,2,0,2
2014-08-07,"flat_1",1,2.067,0.55,1,2,0,2
2014-08-08,"flat_1",1,2.956,0.66,1,2,0,2
2014-08-09,"flat_1",1,5.234,1.65,1,2,0,2
2014-08-10,"flat_1",1,2.318,0.76,1,2,0,2
2014-08-11,"flat_1",1,3.552,1.05,1,2,0,2
2014-08-12,"flat_1",1,2.732,1.34,1,2,0,2
2014-08-13,"flat_1",1,1.729,0.83,1,2,0,2
2014-08-14,"flat_1",1,2.343,1.04,1,2,0,2
2014-08-15,"flat_1",1,3.025,1.2,1,2,0,2
2014-08-16,"flat_1",1,4.791,1.36,1,2,0,2
2014-08-17,"flat_1",1,3.831,0.76,1,2,0,2
2014-08-18,"flat_1",1,2.303,0.66,1,2,0,2
2014-08-19,"flat_1",1,0.834,0.16,1,2,0,2
2014-08-20,"flat_1",1,1.36,0.58,1,2,0,2
2014-08-21,"flat_1",1,2.537,1.7,1,2,0,2
2014-08-22,"flat_1",1,3.273,1.41,1,2,0,2
2014-08-23,"flat_1",1,5.29,1.89,1,2,0,2
2014-08-24,"flat_1",1,4.353,1.35,1,2,0,2
2014-08-25,"flat_1",1,4.349,1.49,1,2,0,2
2014-08-26,"flat_1",1,3.914,1.82,1,2,0,2
2014-08-27,"flat_1",1,2.243,1.97,1,2,0,2
2014-08-28,"flat_1",1,1.321,0.72,1,2,0,2
2014-08-29,"flat_1",1,2.836,0.5,1,2,0,2
2014-08-30,"flat_1",1,4.744,1.71,1,2,0,2
2014-08-31,"flat_1",1,5.627,1.48,1,2,0,2
2014-09-01,"flat_1",1,4.653,1.3,1,2,0,2
2014-09-02,"flat_1",1,4.256,0.85,1,2,0,2
2014-09-03,"flat_1",1,4.108,0.88,1,2,0,2
2014-09-04,"flat_1",1,3.321,1.25,1,2,0,2
2014-09-05,"flat_1",1,2.604,0.48,1,2,0,2
2014-09-06,"flat_1",1,5.557,1.68,1,2,0,2
2014-09-07,"flat_1",1,5.071,0.71,1,2,0,2
2014-09-08,"flat_1",1,3.445,1.38,1,2,0,2
2014-09-09,"flat_1",1,1.086,0.15,1,2,0,2
2014-09-10,"flat_1",1,1.102,0.14,1,2,0,2
2014-09-11,"flat_1",1,1.09,0.21,1,2,0,2
2014-09-12,"flat_1",1,1.885,0.63,1,2,0,2
2014-09-13,"flat_1",1,3.32,1.81,1,2,0,2
2014-09-14,"flat_1",1,4.58,1.62,1,2,0,2
2014-09-15,"flat_1",1,1.918,0.53,1,0,0,0
2014-09-16,"flat_1",1,1.03,0.14,1,0,0,0
2014-09-17,"flat_1",1,2.068,0.15,1,0,0,0
2014-09-18,"flat_1",1,1.249,0.16,1,0,0,0
2014-09-19,"flat_1",1,2.271,0.21,1,0,0,0
2014-09-20,"flat_1",1,3.295,0.13,1,0,0,0
2014-09-21,"flat_1",1,3.283,0.15,1,0,0,0
2014-09-22,"flat_1",1,2.892,0.43,1,0,0,0
2014-09-23,"flat_1",1,1.586,0.46,1,0,0,0
2014-09-24,"flat_1",1,2.037,0.24,1,0,0,0
2014-09-25,"flat_1",1,0.497,0.15,1,0,0,0
2014-09-26,"flat_1",1,0.539,0.14,1,0,0,0
2014-09-27,"flat_1",1,0.528,0.16,1,0,0,0
2014-09-28,"flat_1",1,0.522,0.14,1,0,0,0
2014-09-29,"flat_1",1,0.562,0.15,1,1,0,1
2014-09-30,"flat_1",1,3.604,0.89,1,1,0,1
2014-10-01,"flat_1",1,1.442,0.55,1,1,0,1
2014-10-02,"flat_1",1,1.339,0.72,1,1,0,1
2014-10-03,"flat_1",1,1.969,1.2,1,1,0,1
2014-10-04,"flat_1",1,3.135,3.73,1,1,0,1
2014-10-05,"flat_1",1,3.503,4.51,1,1,0,1
